Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.5292526	0.05849371	0.7299211	0.39298844	2000.0	0.00845697	0.019868769	0.04979264	-0.030246627	200000	6.1035155e-09	0.0008508354	-0.00039819765	-0.00039801863	1.8378286	0.0023539793	0.007405	99.0	274.1424252986908
1	0.5472848	0.05827156	0.69693	0.42988947	2000.0	0.01971656	0.029370112	0.081501655	-0.030881988	400000	1.0986328e-08	0.0004251357	-0.00034355468	-8.682668e-05	1.8376719	0.0020911787	0.0033	99.0	541.5328974723816
2	0.5411161	0.05828163	0.683313	0.42472506	2000.0	0.020643706	0.034938306	0.09725175	-0.03113215	600000	-6.1035155e-09	0.0003565838	-0.00040624998	-1.7417071e-05	1.851903	0.0017307509	0.00495	99.0	804.4830594062805
3	0.5349863	0.061361264	0.69626147	0.39727116	2000.0	0.022101719	0.036690958	0.1046345	-0.033325586	800000	4.577637e-09	0.00031936044	-0.00036957947	-6.3669286e-06	1.8585613	0.0017547739	0.002975	99.0	1063.1861727237701
4	0.5371368	0.059594937	0.6793984	0.42687744	2000.0	0.020129634	0.036079116	0.10597205	-0.02946497	1000000	1.953125e-08	0.00031311464	-0.00031558287	-8.209667e-06	1.8622125	0.0023338613	0.003435	99.0	1319.5437462329865
5	0.53686374	0.06421001	0.71370506	0.38717416	2000.0	0.020385506	0.037321206	0.11174036	-0.02984609	1200000	-8.239746e-09	0.00030385307	-0.0003598549	-6.876071e-06	1.8583053	0.0022023101	0.00246	99.0	1581.5596098899841
6	0.535454	0.061703466	0.71102756	0.34874374	2000.0	0.021108918	0.03924369	0.116607614	-0.032876156	1400000	1.2207031e-09	0.00029569125	-0.00033703612	-1.6709091e-06	1.8595028	0.0019710094	0.002655	99.0	1832.1513180732727
7	0.53988004	0.059257824	0.7011163	0.37844247	2000.0	0.019763239	0.038663227	0.11576857	-0.029673286	1600000	-7.93457e-09	0.00031654412	-0.0006474158	-3.2791868e-06	1.8673098	0.0022184486	0.006465	99.0	2084.240058660507
8	0.5399167	0.06169252	0.70950174	0.34910533	2000.0	0.022132888	0.03855162	0.11759585	-0.025854385	1800000	4.272461e-09	0.00029853245	-0.00034058778	-3.551395e-06	1.867726	0.0018505618	0.0029	99.0	2340.007000684738
9	0.5452488	0.057726815	0.6985474	0.35623565	2000.0	0.020435087	0.038144	0.11655932	-0.026584068	2000000	2.4414062e-09	0.00030539176	-0.00082528807	-2.99557e-06	1.8642764	0.0018342627	0.00624	99.0	2596.913932323456
10	0.54044414	0.060028434	0.71968484	0.4057827	2000.0	0.0213072	0.037150852	0.1161366	-0.025847416	2200000	3.6621093e-09	0.0003013784	-0.0004905127	-2.4901237e-06	1.8787955	0.002299262	0.00502	99.0	2829.3998317718506
11	0.5333005	0.058778517	0.7163191	0.39539248	2000.0	0.019167017	0.03735037	0.118297435	-0.02574612	2400000	4.8828124e-09	0.00029427613	-0.0003903827	-5.114649e-06	1.8809646	0.0011915115	0.002655	99.0	3051.2656915187836
12	0.5167221	0.06163367	0.6854157	0.35510674	2000.0	0.020866124	0.040166967	0.124093406	-0.023211591	2600000	-4.8828124e-09	0.00030145166	-0.00046290283	-4.1477033e-06	1.8895493	0.0014277213	0.003115	99.0	3288.0561459064484
13	0.53142625	0.069745384	0.6803201	0.38095576	2000.0	0.020177353	0.039340638	0.12055381	-0.025698673	2800000	2.4414062e-09	0.00031579533	-0.0004139392	-1.1512893e-06	1.890189	0.0019475414	0.00258	99.0	3598.5659153461456
14	0.5275121	0.060649987	0.6506994	0.37494722	2000.0	0.019062178	0.03894509	0.119540416	-0.022304574	3000000	4.8828124e-09	0.00031670625	-0.00046425537	-4.545989e-06	1.8878347	0.0026235853	0.005875	99.0	3936.490042448044
